ano;questao_na_prova;situacao;id_no_site;gabarito_novas;confianca_gabarito;enunciado
2011;1;já existia (ano marcado);trauma-0850;;;As fraturas do fêmur distal acometem mais frequentemente
2011;2;já existia (ano marcado);mao-0512;;;Na pseudartrose do escafoide com artrose no estágio III de WATSON e BALLET, o tratamento mais bem indicado é a artrodese
2011;3;já existia (ano marcado);coluna-0251;;;No trauma raquimedular, a fraqueza dos membros superiores maior do que a dos membros inferiores caracteriza a
2011;4;já existia (ano marcado);trauma-0851;;;Na fratura subtrocantérica do fêmur, contraindica-se o uso
2011;5;já existia (ano marcado);osteometabolicas-0062;;;Na densitometria óssea de um paciente de 60 anos de idade, os escores T e Z representam, respectivamente, a densidade mineral óssea esperada para indivíduos de
2011;6;já existia (ano marcado);pediatria-0409;;;Na paralisia cerebral espástica, o lado acometido apresenta
2011;7;já existia (ano marcado);pediatria-0410;;;Na pseudartrose congênita da tíbia, o método de ILIZAROV é indicado a partir da idade de
2011;8;já existia (ano marcado);trauma-0852;;;Na via de acesso de BOYD, o nervo interósseo posterior fica mais protegido com o antebraço em
2011;9;já existia (ano marcado);pe-tornozelo-0264;;;No pé cavo decorrente da doença de CHARCOT-MARIE-TOOTH, o antepé encontra-se
2011;10;já existia (ano marcado);pe-tornozelo-0265;;;Na ruptura completa do tendão do calcâneo, o teste de THOMPSON é
2011;11;já existia (ano marcado);mao-0513;;;É classificada como instabilidade cárpica dissociativa a
2011;12;já existia (ano marcado);coluna-0252;;;Para criança e o adolescente, existe maior risco de desenvolvimento de déficit neurológico e progressão de deformidade na espondilolistese classificada por WILTSE-NEWMAN como do tipo
2011;13;já existia (ano marcado);trauma-0853;;;Na lesão do anel pélvico, a fratura anterior da asa do sacro é relacionada
2011;14;já existia (ano marcado);osteometabolicas-0063;;;A hipovitaminose D é mais prevalente no sexo
2011;15;já existia (ano marcado);pediatria-0264, pediatria-0411, pediatria-0452;;;Na criança, o valgo fisiológico máximo do joelho ocorre na idade compreendida entre
2011;16;já existia (ano marcado);pediatria-0412;;;A spina bifida oculta localiza-se mais comumente nas vértebras
2011;17;já existia (ano marcado);ombro-cotovelo-0341;;;A melhor incidência radiográfica para o diagnóstico da fratura do processo coracoide é
2011;18;já existia (ano marcado);pediatria-0413;;;No tratamento da contratura em pronação do antebraço por paralisia cerebral, indica-se a reorientação do músculo pronador redondo, segundo a classificação de GSCHWIND e TONKIN, no grupo
2011;19;já existia (ano marcado);joelho-0217;;;Na artroplastia total do joelho em pacientes hemofílicos portadores de HIV, a complicação mais comum é
2011;20;já existia (ano marcado);mao-0514;;;O tratamento recomendado para a ruptura aguda da banda sagital do tendão extensor dos dedos da mão é
2011;21;já existia (ano marcado);coluna-0253;;;Na escoliose idiopática infantil, a curva com maior risco de progressão é aquela em que
2011;22;já existia (ano marcado);trauma-0854;;;Na fratura do acetábulo, o sinal da gaivota (gull sign) é associado à fratura da
2011;23;NOVA (adicionada e comentada);tumores-0319;C;alta;No paciente esqueleticamente imaturo, o achatamento do corpo vertebral (vértebra plana) é mais comumente observado no
2011;24;já existia (ano marcado);trauma-0855;;;A única indicação absoluta de osteossíntese interna de fratura da cabeça do rádio do tipo II de MASON é a ocorrência de
2011;25;já existia (ano marcado);pediatria-0414;;;Na doença de LEGG-CALVÉ-PERTHES, a ausência de osteócitos ou a presença de osteócitos com núcleo picnótico são características da fase de
2011;26;já existia (ano marcado);ombro-cotovelo-0342;;;Na prótese de cotovelo, a infecção acomete com maior frequência os portadores de
2011;27;já existia (ano marcado);pe-tornozelo-0266;;;Na coalizão tarsal, o sinal do C de LEFLEUR é visto na incidência radiográfica
2011;28;já existia (ano marcado);trauma-0856;;;Na fratura do planalto tibial do tipo C da classificação AO, fixa-se habitualmente primeiro o côndilo
2011;29;já existia (ano marcado);mao-0515;;;A doença de DUPUYTREN ocorre mais frequentemente
